station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BKX,2020-02-12 18:22,-96.8169,44.3048,490.28,3.20,-0.40,84.56,360.00,19.00,T,29.98,M,0.50,27.00,BKN,BKN,OVC,M,1200.00,1800.00,2800.00,M,-SN FZFG,M,M,M,27.00,360.00,2020-02-12 18:18,-18.65,KBKX 121822Z AUTO 36019G27KT 1/2SM -SN FZFG BKN012 BKN018 OVC028 M16/M18 A2998 RMK AO2 PK WND 36027/1818 P0000 FZRANO RVRNO
YKN,2020-02-12 18:22,-97.3859,42.9167,389.54,28.40,23.00,79.92,350.00,21.00,T,29.90,M,10.00,28.00,BKN,OVC,M,M,1100.00,1900.00,M,M,-SN,M,M,M,32.00,350.00,2020-02-12 18:08,14.05,KYKN 121822Z AUTO 35021G28KT 10SM -SN BKN011 OVC019 M02/M05 A2990 RMK AO2 PK WND 35032/1808 RAE05UPB05E15SNB15 PRESRR P0000 FZRANO
PIR,2020-02-12 18:24,-100.2860,44.3827,522.03,5.00,-2.00,72.18,350.00,23.00,0.00,30.20,M,4.00,31.00,FEW,BKN,M,M,1100.00,5000.00,M,M,HZ,M,M,M,35.00,360.00,2020-02-12 18:02,-17.98,KPIR 121824Z AUTO 35023G31KT 4SM HZ FEW011 BKN050 M15/M19 A3020 RMK AO2 PK WND 36035/1802 T11501189 PWINO FZRANO
RCA,2020-02-12 18:26,-103.1036,44.1451,977.43,15.80,10.40,78.84,360.00,12.00,0.00,30.15,1025.60,2.00,M,BKN,OVC,M,M,300.00,1700.00,M,M,-SN,M,M,M,M,M,M,1.38,KRCA 121826Z 36012KT 2SM -SN BKN003 OVC017 M09/M12 A3015 RMK AO2A CIG 003V017 SLP256 $
ABR,2020-02-12 18:26,-98.4200,45.4500,395.00,-2.00,-9.90,68.27,10.00,26.00,T,30.21,M,1.75,35.00,BKN,M,M,M,1200.00,M,M,M,UP,M,M,M,36.00,360.00,2020-02-12 17:58,-28.61,KABR 121826Z AUTO 01026G35KT 1 3/4SM UP BKN012 M19/M23 A3021 RMK AO2 PK WND 36036/1758 VIS 1V4 UPB00E18B20 P0000 T11891233
RAP,2020-02-12 18:27,-103.0574,44.0453,964.71,15.10,10.00,79.84,360.00,12.00,T,30.16,M,1.00,M,VV ,M,M,M,1300.00,M,M,M,-SN,M,M,M,M,M,M,0.49,KRAP 121827Z 36012KT 1SM -SN VV013 M09/M12 A3016 RMK AO2 P0000 T10941122 RVRNO
ICR,2020-02-12 18:28,-99.8422,43.3903,611.93,15.10,8.10,73.31,340.00,23.00,T,30.11,M,2.00,29.00,SCT,OVC,M,M,1300.00,2100.00,M,M,-SN,M,M,M,32.00,360.00,2020-02-12 18:08,-4.40,KICR 121828Z AUTO 34023G29KT 2SM -SN SCT013 OVC021 M09/M13 A3011 RMK AO2 PK WND 36032/1808 P0000 T10941133 $
BKX,2020-02-12 18:28,-96.8169,44.3048,490.28,5.00,1.40,84.68,360.00,19.00,T,29.97,M,0.75,M,SCT,BKN,OVC,M,1200.00,1600.00,2800.00,M,-SN BR,M,M,M,27.00,360.00,2020-02-12 18:18,-16.27,KBKX 121828Z AUTO 36019KT 3/4SM -SN BR SCT012 BKN016 OVC028 M15/M17 A2997 RMK AO2 PK WND 36027/1818 P0000 FZRANO RVRNO
RCA,2020-02-12 18:31,-103.1036,44.1451,977.43,15.80,10.40,78.84,360.00,11.00,0.00,30.15,1025.60,1.62,M,SCT,OVC,M,M,400.00,1700.00,M,M,-SN,M,M,M,M,M,M,1.99,KRCA 121831Z 36011KT 1 5/8SM -SN SCT004 OVC017 M09/M12 A3015 RMK AO2A CIG 003V017 CIG 003 RWY13 SLP256 $
ICR,2020-02-12 18:32,-99.8422,43.3903,611.93,15.10,8.10,73.31,350.00,23.00,T,30.11,M,3.00,M,FEW,OVC,M,M,1300.00,2000.00,M,M,-SN,M,M,M,32.00,360.00,2020-02-12 18:08,-4.40,KICR 121832Z AUTO 35023KT 3SM -SN FEW013 OVC020 M09/M13 A3011 RMK AO2 PK WND 36032/1808 P0000 T10941133 $
FSD,2020-02-12 18:33,-96.7536,43.5769,428.94,15.10,8.10,73.31,20.00,16.00,T,29.92,M,2.00,27.00,OVC,M,M,M,2900.00,M,M,M,-SN BLSN,M,M,M,33.00,20.00,2020-02-12 18:00,-1.61,KFSD 121833Z 02016G27KT 2SM -SN BLSN OVC029 M09/M13 A2992 RMK AO2 PK WND 02033/1800 P0000 T10941133
MDS,2020-02-12 18:35,-97.0859,44.0160,520.80,6.80,6.80,100.00,10.00,26.00,0.06,29.95,M,0.50,33.00,BKN,M,M,M,600.00,M,M,M,SN,M,M,M,M,M,M,-16.66,KMDS 121835Z AUTO 01026G33KT 1/2SM SN BKN006 M14/M14 A2995 RMK AO2 P0006
BKX,2020-02-12 18:35,-96.8169,44.3048,490.28,5.00,-0.40,77.84,360.00,20.00,T,29.97,M,0.50,25.00,BKN,BKN,OVC,M,1000.00,1500.00,2800.00,M,SN,M,M,M,27.00,360.00,2020-02-12 18:18,-16.72,KBKX 121835Z AUTO 36020G25KT 1/2SM SN BKN010 BKN015 OVC028 M15/M18 A2997 RMK AO2 PK WND 36027/1818 CIG 007V014 P0000 FZRANO RVRNO
9V9,2020-02-12 18:35,-99.3183,43.7667,509.76,12.70,8.60,83.31,350.00,24.00,0.00,30.10,M,0.75,29.00,OVC,M,M,M,1000.00,M,M,M,-SN,M,M,M,M,M,M,-7.98,K9V9 121835Z AUTO 35024G29KT 3/4SM -SN OVC010 M11/M13 A3010 RMK AO2 T11071130
SPF,2020-02-12 18:35,-103.7830,44.4803,1186.17,14.00,10.40,85.28,300.00,4.00,0.00,30.14,M,4.00,M,FEW,SCT,M,M,1700.00,2200.00,M,M,-SN,M,M,M,M,M,M,6.40,KSPF 121835Z AUTO 30004KT 4SM -SN FEW017 SCT022 M10/M12 A3014 RMK AO2
RCA,2020-02-12 18:36,-103.1036,44.1451,977.43,15.80,10.40,78.84,360.00,12.00,0.00,30.15,1025.60,1.75,M,BKN,OVC,M,M,400.00,1900.00,M,M,-SN,M,M,M,M,M,M,1.38,KRCA 121836Z 36012KT 1 3/4SM -SN BKN004 OVC019 M09/M12 A3015 RMK AO2A VIS 1 1/2V2 CIG 003V017 BKN V SCT CIG 003 RWY13 SLP256 $
IEN,2020-02-12 18:38,-102.5110,43.0225,1008.84,21.00,14.00,73.94,360.00,14.00,T,30.10,M,3.00,M,SCT,OVC,M,M,1700.00,4500.00,M,M,-SN,M,M,M,28.00,20.00,2020-02-12 17:57,6.98,KIEN 121838Z AUTO 36014KT 3SM -SN SCT017 OVC045 M06/M10 A3010 RMK AO2 PK WND 02028/1757 P0000 T10611100
MHE,2020-02-12 18:38,-98.0386,43.7748,395.73,9.00,3.90,79.31,360.00,25.00,T,30.06,M,0.25,34.00,FEW,BKN,OVC,M,700.00,1300.00,3000.00,M,+SN,M,M,M,38.00,350.00,2020-02-12 17:55,-13.33,KMHE 121838Z AUTO 36025G34KT 1/4SM +SN FEW007 BKN013 OVC030 M13/M16 A3006 RMK AO2 PK WND 35038/1755 P0000 T11281156
RCA,2020-02-12 18:41,-103.1036,44.1451,977.43,15.80,10.40,78.84,350.00,13.00,0.00,30.15,1025.60,2.75,M,BKN,BKN,OVC,M,400.00,1100.00,1900.00,M,-SN,M,M,M,M,M,M,0.81,KRCA 121841Z 35013KT 2 3/4SM -SN BKN004 BKN011 OVC019 M09/M12 A3015 RMK AO2A VIS 1 1/2V2 3/4 CIG 003 RWY13 SLP256 $
FSD,2020-02-12 18:42,-96.7536,43.5769,428.94,14.00,6.10,70.26,10.00,19.00,T,29.93,M,7.00,26.00,OVC,M,M,M,3100.00,M,M,M,-SN,M,M,M,33.00,20.00,2020-02-12 18:00,-4.37,KFSD 121842Z 01019G26KT 7SM -SN OVC031 M10/M14 A2993 RMK AO2 PK WND 02033/1800 DRSN P0000 T11001144
RCA,2020-02-12 18:46,-103.1036,44.1451,977.43,15.80,10.40,78.84,360.00,13.00,0.00,30.15,1025.60,3.00,M,BKN,OVC,M,M,400.00,1000.00,M,M,-SN,M,M,M,M,M,M,0.81,KRCA 121846Z 36013KT 3SM -SN BKN004 OVC010 M09/M12 A3015 RMK AO2A CIG 003 RWY13 SLP256 $
ABR,2020-02-12 18:46,-98.4200,45.4500,395.00,-2.00,-11.00,64.65,10.00,23.00,T,30.22,M,3.00,35.00,BKN,M,M,M,1300.00,M,M,M,HZ,M,M,M,36.00,360.00,2020-02-12 17:58,-27.39,KABR 121846Z AUTO 01023G35KT 3SM HZ BKN013 M19/M24 A3022 RMK AO2 PK WND 36036/1758 UPB00E18B20E46 P0000 T11891239
RCA,2020-02-12 18:51,-103.1036,44.1451,977.43,15.80,10.40,78.84,350.00,16.00,0.00,30.15,1025.60,4.00,M,BKN,OVC,M,M,700.00,1000.00,M,M,-SN,M,M,M,M,M,M,-0.70,KRCA 121851Z 35016KT 4SM -SN BKN007 OVC010 M09/M12 A3015 RMK AO2A CIG 004V007 CIG 003 RWY13 SLP256 $
YKN,2020-02-12 18:51,-97.3859,42.9167,389.54,21.20,15.80,79.31,340.00,24.00,T,29.94,M,9.00,29.00,OVC,M,M,M,1600.00,M,M,M,-SN,M,M,M,32.00,350.00,2020-02-12 18:08,3.49,KYKN 121851Z AUTO 34024G29KT 9SM -SN OVC016 M06/M09 A2994 RMK AO2 PK WND 35032/1808 RAE05UPB05E15SNB15 P0000 FZRANO
RAP,2020-02-12 18:52,-103.0574,44.0453,964.71,15.10,10.00,79.84,10.00,9.00,T,30.16,1025.60,1.25,M,FEW,BKN,OVC,M,1100.00,1600.00,2800.00,M,-SN,M,M,M,M,M,M,2.50,KRAP 121852Z 01009KT 1 1/4SM -SN FEW011 BKN016 OVC028 M09/M12 A3016 RMK AO2 SLP256 P0000 T10941122
IEN,2020-02-12 18:52,-102.5110,43.0225,1008.84,21.90,12.90,67.82,10.00,12.00,T,30.10,1023.10,4.00,20.00,FEW,BKN,OVC,M,1600.00,2900.00,4500.00,M,-SN,M,M,M,28.00,20.00,2020-02-12 17:57,9.15,KIEN 121852Z AUTO 01012G20KT 4SM -SN FEW016 BKN029 OVC045 M06/M11 A3010 RMK AO2 PK WND 02028/1757 SLP231 P0000 T10561106
MBG,2020-02-12 18:52,-100.4078,45.5464,515.17,3.00,-9.00,56.47,360.00,16.00,0.00,30.23,1027.00,10.00,25.00,CLR,M,M,M,M,M,M,M,M,M,M,M,31.00,10.00,2020-02-12 18:16,-17.38,KMBG 121852Z AUTO 36016G25KT 10SM CLR M16/M23 A3023 RMK AO2 PK WND 01031/1816 SLP270 T11611228
CUT,2020-02-12 18:53,-103.6114,43.7331,1686.81,18.00,10.00,70.41,50.00,9.00,0.01,29.96,1019.10,4.00,M,FEW,OVC,M,M,1800.00,2300.00,M,M,-SN,M,M,M,M,M,M,6.11,KCUT 121853Z AUTO 05009KT 4SM -SN FEW018 OVC023 M08/M12 A2996 RMK AO2 SLP191 P0001 T10781122
ICR,2020-02-12 18:53,-99.8422,43.3903,611.93,14.00,7.00,73.19,340.00,22.00,T,30.13,1022.90,2.50,29.00,SCT,OVC,M,M,1300.00,2200.00,M,M,-SN,M,M,M,32.00,360.00,2020-02-12 18:08,-5.52,KICR 121853Z AUTO 34022G29KT 2 1/2SM -SN SCT013 OVC022 M10/M14 A3013 RMK AO2 PK WND 36032/1808 SLP229 P0000 T11001139 $
